Date,Open,High,Low,Close,Volume
2020-02-18 09:00:00+00:00,75.63,75.85,74.93,75.64,499688.0
2020-02-18 10:00:00+00:00,75.64,76.0,75.57,76.0,261776.0
2020-02-18 11:00:00+00:00,75.96,76.0,75.74,75.78,201384.0
2020-02-18 12:00:00+00:00,75.76,76.41,75.76,76.39,1506748.0
2020-02-18 13:00:00+00:00,75.98,77.27,75.79,76.8,3379408.0
2020-02-18 14:00:00+00:00,76.79,76.94,76.03,76.78,41989068.0
2020-02-18 15:00:00+00:00,76.78,77.0,76.48,76.8,24604972.0
2020-02-18 16:00:00+00:00,76.79,76.83,76.27,76.27,16164712.0
2020-02-18 17:00:00+00:00,76.27,76.65,76.17,76.62,16587000.0
2020-02-18 18:00:00+00:00,76.62,76.89,76.62,76.87,11562616.0
2020-02-18 19:00:00+00:00,76.87,77.27,76.74,77.16,12208168.0
2020-02-18 20:00:00+00:00,77.16,77.25,76.92,77.09,15792568.0
2020-02-18 21:00:00+00:00,77.09,77.21,77.04,77.09,19685276.0
2020-02-18 22:00:00+00:00,77.13,77.14,77.1,77.13,93548.0
2020-02-18 23:00:00+00:00,77.13,77.23,77.13,77.23,107600.0
2020-02-19 00:00:00+00:00,77.26,77.27,77.21,77.27,125936.0
2020-02-19 09:00:00+00:00,77.37,77.57,77.37,77.4,48240.0
2020-02-19 10:00:00+00:00,77.46,77.66,77.46,77.52,31128.0
2020-02-19 11:00:00+00:00,77.5,77.5,77.34,77.47,36840.0
2020-02-19 12:00:00+00:00,77.44,77.64,77.43,77.64,220444.0
2020-02-19 13:00:00+00:00,77.47,77.65,77.4,77.43,700088.0
2020-02-19 14:00:00+00:00,77.43,78.05,77.09,77.98,19909624.0
2020-02-19 15:00:00+00:00,77.98,78.2,77.8,78.19,17645900.0
2020-02-19 16:00:00+00:00,78.2,78.43,78.18,78.29,12319428.0
2020-02-19 17:00:00+00:00,78.28,78.43,78.2,78.39,6988924.0
2020-02-19 18:00:00+00:00,78.4,78.4,78.19,78.28,5492244.0
2020-02-19 19:00:00+00:00,78.28,78.37,78.21,78.29,5500052.0
2020-02-19 20:00:00+00:00,78.3,78.34,78.03,78.2,13468964.0
2020-02-19 21:00:00+00:00,78.2,78.26,78.12,78.15,22316072.0
2020-02-19 22:00:00+00:00,78.17,78.22,78.13,78.21,104916.0
2020-02-19 23:00:00+00:00,78.22,78.26,78.18,78.26,54992.0
2020-02-20 00:00:00+00:00,78.28,78.41,78.27,78.35,144612.0
2020-02-20 09:00:00+00:00,78.12,78.16,78.05,78.13,24180.0
2020-02-20 10:00:00+00:00,78.08,78.08,78.05,78.05,7364.0
2020-02-20 11:00:00+00:00,78.02,78.02,77.98,77.98,4300.0
2020-02-20 12:00:00+00:00,78.01,78.11,77.93,78.08,180008.0
2020-02-20 13:00:00+00:00,78.05,78.11,77.82,77.95,382304.0
2020-02-20 14:00:00+00:00,77.93,78.45,77.92,78.39,13507664.0
2020-02-20 15:00:00+00:00,78.39,78.43,77.97,78.0,13112132.0
2020-02-20 16:00:00+00:00,78.01,78.02,76.9,77.3,22593508.0
2020-02-20 17:00:00+00:00,77.29,77.4,76.99,77.39,12987520.0
2020-02-20 18:00:00+00:00,77.38,77.59,77.21,77.26,8122176.0
2020-02-20 19:00:00+00:00,77.26,77.61,77.26,77.42,8771380.0
