Date,Open,High,Low,Close,Volume
2020-02-18 09:00:00+00:00,223.97,223.97,223.52,223.69,53504.0
2020-02-18 10:00:00+00:00,223.67,224.2,223.58,224.13,35406.0
2020-02-18 11:00:00+00:00,224.17,224.17,223.87,223.88,33884.0
2020-02-18 12:00:00+00:00,223.91,224.35,223.91,224.27,162286.0
2020-02-18 13:00:00+00:00,224.04,225.71,223.42,224.51,489174.0
2020-02-18 14:00:00+00:00,224.51,225.48,224.37,225.47,4484726.0
2020-02-18 15:00:00+00:00,225.47,225.59,224.81,225.38,4486288.0
2020-02-18 16:00:00+00:00,225.39,225.47,224.44,224.52,2562268.0
2020-02-18 17:00:00+00:00,224.51,225.3,224.45,225.22,1744084.0
2020-02-18 18:00:00+00:00,225.24,225.65,225.22,225.32,1818700.0
2020-02-18 19:00:00+00:00,225.32,226.08,225.14,226.0,2216412.0
2020-02-18 20:00:00+00:00,226.01,226.22,225.63,225.81,3878013.0
2020-02-18 21:00:00+00:00,225.8,225.97,225.74,225.9,2737924.0
2020-02-18 22:00:00+00:00,225.94,225.94,225.81,225.85,10630.0
2020-02-18 23:00:00+00:00,225.91,226.43,225.91,226.41,92885.0
2020-02-19 00:00:00+00:00,226.44,226.54,226.32,226.38,48073.0
2020-02-19 09:00:00+00:00,226.4,226.65,226.4,226.52,32819.0
2020-02-19 10:00:00+00:00,226.45,226.61,226.45,226.6,8673.0
2020-02-19 11:00:00+00:00,226.59,226.64,226.45,226.6,23506.0
2020-02-19 12:00:00+00:00,226.61,226.95,226.59,226.93,64749.0
2020-02-19 13:00:00+00:00,226.63,226.96,225.8,226.91,173260.0
2020-02-19 14:00:00+00:00,226.89,227.7,226.87,227.58,3990266.0
2020-02-19 15:00:00+00:00,227.56,227.86,227.43,227.8,2382399.0
2020-02-19 16:00:00+00:00,227.8,228.21,227.78,228.11,2838865.0
2020-02-19 17:00:00+00:00,228.11,228.32,227.98,228.17,1403276.0
2020-02-19 18:00:00+00:00,228.17,228.21,228.05,228.12,1118800.0
2020-02-19 19:00:00+00:00,228.11,228.43,227.99,228.28,1956816.0
2020-02-19 20:00:00+00:00,228.29,228.32,227.75,227.97,5089056.0
2020-02-19 21:00:00+00:00,227.96,228.17,227.95,228.08,3582739.0
2020-02-19 22:00:00+00:00,228.06,228.22,227.98,228.19,43352.0
2020-02-19 23:00:00+00:00,228.18,228.33,228.1,228.31,71514.0
2020-02-20 00:00:00+00:00,228.36,228.74,228.36,228.63,63787.0
2020-02-20 09:00:00+00:00,227.77,228.01,227.7,227.99,36047.0
2020-02-20 10:00:00+00:00,227.9,227.93,227.65,227.8,23207.0
2020-02-20 11:00:00+00:00,227.8,227.85,227.46,227.46,20555.0
2020-02-20 12:00:00+00:00,227.48,227.74,227.47,227.64,74719.0
2020-02-20 13:00:00+00:00,227.61,228.22,227.14,227.37,362206.0
2020-02-20 14:00:00+00:00,227.37,227.78,227.02,227.67,2810993.0
2020-02-20 15:00:00+00:00,227.68,227.93,227.28,227.38,3923653.0
2020-02-20 16:00:00+00:00,227.38,227.38,223.06,224.6,13751000.0
2020-02-20 17:00:00+00:00,224.61,224.64,223.79,224.61,6889615.0
2020-02-20 18:00:00+00:00,224.6,225.41,224.37,224.71,3708427.0
2020-02-20 19:00:00+00:00,224.71,225.93,224.71,225.53,2809785.0
2020-02-20 20:00:00+00:00,225.54,226.01,225.0,225.8,5031688.0
2020-02-20 21:00:00+00:00,225.79,225.93,225.48,225.48,3433764.0
2020-02-20 22:00:00+00:00,225.42,225.85,225.34,225.34,244918.0
2020-02-20 23:00:00+00:00,225.38,225.53,224.23,224.42,200721.0
2020-02-21 00:00:00+00:00,224.46,225.29,224.38,225.02,137615.0
2020-02-21 09:00:00+00:00,224.48,224.66,224.07,224.12,57914.0
2020-02-21 10:00:00+00:00,224.29,224.7,224.29,224.67,22203.0
2020-02-21 11:00:00+00:00,224.58,224.75,224.34,224.57,27003.0
2020-02-21 12:00:00+00:00,224.59,225.12,224.51,225.0,163902.0
2020-02-21 13:00:00+00:00,224.56,225.12,223.89,224.74,271836.0
2020-02-21 14:00:00+00:00,224.72,225.17,222.22,222.97,8821000.0
2020-02-21 15:00:00+00:00,222.96,223.39,222.04,222.82,11131264.0
2020-02-21 16:00:00+00:00,222.85,223.33,222.54,223.04,6110072.0
2020-02-21 17:00:00+00:00,223.06,223.5,222.14,222.33,5043112.0
2020-02-21 18:00:00+00:00,222.33,222.61,220.59,221.12,9235030.0
2020-02-21 19:00:00+00:00,221.11,221.54,220.63,221.35,7078720.0
2020-02-21 20:00:00+00:00,221.34,222.02,220.66,221.55,11739566.0
2020-02-21 21:00:00+00:00,221.56,224.74,221.49,221.61,3672180.0
2020-02-21 22:00:00+00:00,221.67,221.75,221.41,221.47,3341407.0
2020-02-24 09:00:00+00:00,218.37,218.37,213.94,215.2,387541.0
2020-02-24 10:00:00+00:00,215.19,215.31,214.25,214.44,204373.0
2020-02-24 11:00:00+00:00,214.41,215.74,214.16,215.46,503511.0
2020-02-24 12:00:00+00:00,215.48,216.31,215.14,215.4,1378591.0
