Date,Open,High,Low,Close,Volume
2020-02-18 12:00:00+00:00,282.55,282.67,282.46,282.58,5094.0
2020-02-18 13:00:00+00:00,282.48,282.99,282.48,282.72,7092.0
2020-02-18 14:00:00+00:00,282.74,283.31,282.73,283.22,589718.0
2020-02-18 15:00:00+00:00,283.2,283.28,282.33,282.69,384955.0
2020-02-18 16:00:00+00:00,282.72,282.76,281.73,281.74,510679.0
2020-02-18 17:00:00+00:00,281.74,282.56,281.71,282.5,354598.0
2020-02-18 18:00:00+00:00,282.5,282.78,282.43,282.53,208579.0
2020-02-18 19:00:00+00:00,282.54,283.19,282.33,283.12,334437.0
2020-02-18 20:00:00+00:00,283.13,283.34,282.71,282.94,546397.0
2020-02-18 21:00:00+00:00,282.93,282.99,282.88,282.91,63808.0
2020-02-18 23:00:00+00:00,283.14,283.6,283.14,283.6,836.0
2020-02-19 00:00:00+00:00,283.66,283.66,283.42,283.42,1801.0
2020-02-19 11:00:00+00:00,283.57,283.57,283.57,283.57,1100.0
2020-02-19 12:00:00+00:00,283.62,283.68,283.58,283.64,1535.0
2020-02-19 13:00:00+00:00,283.72,283.81,283.62,283.81,19043.0
2020-02-19 14:00:00+00:00,283.91,284.4,283.62,284.17,471609.0
2020-02-19 15:00:00+00:00,284.17,284.47,284.02,284.42,201300.0
2020-02-19 16:00:00+00:00,284.43,284.75,284.41,284.61,153976.0
2020-02-19 17:00:00+00:00,284.63,284.83,284.53,284.68,383684.0
2020-02-19 18:00:00+00:00,284.69,284.75,284.51,284.61,145865.0
2020-02-19 19:00:00+00:00,284.56,284.96,284.49,284.77,221388.0
2020-02-19 20:00:00+00:00,284.79,284.83,284.26,284.35,534852.0
2020-02-19 21:00:00+00:00,284.35,284.53,284.3,284.46,113976.0
2020-02-19 22:00:00+00:00,284.91,284.91,284.91,284.91,240.0
2020-02-19 23:00:00+00:00,284.79,284.79,284.79,284.79,100.0
2020-02-20 00:00:00+00:00,284.81,285.16,284.81,285.12,11753.0
2020-02-20 10:00:00+00:00,283.94,283.94,283.94,283.94,600.0
2020-02-20 12:00:00+00:00,283.8,283.96,283.8,283.87,1920.0
2020-02-20 13:00:00+00:00,284.0,284.04,283.57,283.57,2643.0
2020-02-20 14:00:00+00:00,283.82,284.41,283.68,284.26,232160.0
2020-02-20 15:00:00+00:00,284.3,284.59,284.19,284.36,291729.0
2020-02-20 16:00:00+00:00,284.4,284.4,280.46,281.95,809199.0
2020-02-20 17:00:00+00:00,281.9,282.16,281.22,282.15,353464.0
2020-02-20 18:00:00+00:00,282.09,282.88,281.94,282.27,416102.0
2020-02-20 19:00:00+00:00,282.33,283.27,282.33,282.94,309073.0
2020-02-20 20:00:00+00:00,283.01,283.42,282.46,283.19,526040.0
2020-02-20 21:00:00+00:00,283.19,283.33,282.86,282.86,1809020.0
2020-02-20 22:00:00+00:00,282.79,282.88,282.73,282.73,800.0
2020-02-20 23:00:00+00:00,282.78,282.91,281.95,282.0,7067.0
2020-02-21 00:00:00+00:00,282.22,282.53,282.22,282.53,1300.0
2020-02-21 13:00:00+00:00,282.07,282.07,281.86,281.86,3346.0
2020-02-21 14:00:00+00:00,281.83,282.21,280.22,280.76,478319.0
2020-02-21 15:00:00+00:00,280.73,281.16,279.86,280.51,421197.0
2020-02-21 16:00:00+00:00,280.56,281.28,280.44,281.02,294910.0
2020-02-21 17:00:00+00:00,281.06,281.37,280.51,280.67,168427.0
2020-02-21 18:00:00+00:00,280.66,280.9,279.5,279.9,283778.0
2020-02-21 19:00:00+00:00,279.88,280.3,279.63,280.12,230482.0
2020-02-21 20:00:00+00:00,280.12,280.62,279.51,280.26,683853.0
2020-02-21 21:00:00+00:00,280.26,280.58,280.24,280.31,155170.0
2020-02-24 09:00:00+00:00,274.25,274.25,272.47,273.73,4979.0
2020-02-24 10:00:00+00:00,273.67,273.67,272.79,272.79,1738.0
2020-02-24 11:00:00+00:00,273.15,273.95,273.15,273.81,1925.0
2020-02-24 12:00:00+00:00,273.68,274.25,273.17,273.44,81236.0
2020-02-24 13:00:00+00:00,274.13,274.17,272.56,272.7,77111.0
2020-02-24 14:00:00+00:00,272.7,273.64,271.3,273.4,1412305.0
2020-02-24 15:00:00+00:00,273.3,273.79,271.93,272.9,928571.0
2020-02-24 16:00:00+00:00,272.87,273.0,271.47,271.89,854167.0
2020-02-24 17:00:00+00:00,271.8,271.88,270.75,270.96,626432.0
2020-02-24 18:00:00+00:00,270.88,271.56,269.95,271.42,825050.0
2020-02-24 19:00:00+00:00,271.38,273.02,270.65,272.86,1140999.0
2020-02-24 20:00:00+00:00,272.87,273.27,270.93,270.93,1062161.0
2020-02-24 21:00:00+00:00,270.92,271.24,270.54,271.07,78191.0
2020-02-24 22:00:00+00:00,271.03,271.16,271.02,271.02,1781.0
2020-02-24 23:00:00+00:00,270.93,272.09,270.25,272.09,6280.0
2020-02-25 00:00:00+00:00,272.05,272.73,272.05,272.73,11616.0
2020-02-25 09:00:00+00:00,272.16,272.16,271.82,271.82,200.0
2020-02-25 10:00:00+00:00,271.16,271.16,270.92,270.99,1451.0
2020-02-25 11:00:00+00:00,271.82,271.84,271.76,271.84,1403.0
2020-02-25 12:00:00+00:00,271.76,272.46,271.56,272.41,5807.0
2020-02-25 13:00:00+00:00,272.36,272.6,271.66,272.27,215313.0
2020-02-25 14:00:00+00:00,272.22,272.74,270.6,271.63,904970.0
2020-02-25 15:00:00+00:00,271.39,271.88,267.59,268.67,960714.0
2020-02-25 16:00:00+00:00,268.67,269.0,266.82,268.4,806252.0
2020-02-25 17:00:00+00:00,268.4,268.61,266.33,266.44,605540.0
2020-02-25 18:00:00+00:00,266.32,266.97,264.72,264.74,1373330.0
2020-02-25 19:00:00+00:00,264.76,264.85,262.21,263.98,1806668.0
2020-02-25 20:00:00+00:00,263.99,265.25,261.89,262.76,1548775.0
2020-02-25 21:00:00+00:00,262.72,263.9,262.57,263.64,327374.0
2020-02-25 22:00:00+00:00,263.7,263.7,262.96,262.96,1413.0
2020-02-25 23:00:00+00:00,264.26,264.72,264.15,264.69,15233.0
2020-02-26 00:00:00+00:00,264.63,264.79,263.44,263.44,11120.0
2020-02-26 09:00:00+00:00,261.57,262.17,260.64,262.17,3244.0
2020-02-26 10:00:00+00:00,262.46,262.84,262.46,262.57,1700.0
2020-02-26 11:00:00+00:00,263.53,263.62,263.53,263.62,1120.0
