Date,Close,High,Low,Open,Volume
2023-12-04,81.0,84.0,75.0,84.0,84
2023-12-05,81.0,84.0,78.0,81.0,38
2023-12-06,84.0,84.0,81.0,81.0,61
2023-12-07,81.0,84.0,81.0,84.0,11
2023-12-08,75.0,81.0,72.0,75.0,68
2023-12-11,66.0,78.0,66.0,75.0,88
2023-12-12,63.0,69.0,63.0,63.0,92
2023-12-13,63.0,66.0,60.0,60.0,62
2023-12-14,63.0,66.0,60.0,60.0,273
2023-12-15,60.0,63.0,60.0,60.0,42
2023-12-18,63.0,66.0,60.0,60.0,138
2023-12-19,75.0,75.0,60.0,63.0,3678
2023-12-20,69.0,72.0,63.0,72.0,959
2023-12-21,69.0,69.0,60.0,69.0,320
2023-12-22,66.0,75.0,63.0,66.0,353
2023-12-26,66.0,69.0,63.0,63.0,103
2023-12-27,66.0,66.0,63.0,66.0,166
2023-12-28,66.0,66.0,60.0,63.0,88
2023-12-29,60.0,66.0,60.0,63.0,121
2024-01-02,63.0,66.0,60.0,60.0,62
2024-01-03,72.0,75.0,69.0,69.0,348
2024-01-04,69.0,69.0,66.0,69.0,119
2024-01-05,69.0,69.0,66.0,66.0,51
2024-01-08,66.0,69.0,66.0,66.0,84
2024-01-09,66.0,66.0,66.0,66.0,35
2024-01-10,66.0,66.0,66.0,66.0,25
2024-01-11,60.0,69.0,60.0,69.0,95
2024-01-12,63.0,63.0,60.0,63.0,9
2024-01-16,54.0,63.0,54.0,63.0,267
2024-01-17,57.0,57.0,54.0,54.0,24
2024-01-18,57.0,60.0,54.0,57.0,20
2024-01-19,51.0,57.0,51.0,57.0,173
2024-01-22,48.0,54.0,48.0,54.0,72
2024-01-23,42.0,54.0,42.0,51.0,474
2024-01-24,42.0,45.0,39.0,45.0,526
2024-01-25,42.0,54.0,39.0,54.0,3280
2024-01-26,47.20000076293945,51.599998474121094,35.400001525878906,44.0,4830
2024-01-29,46.79999923706055,60.599998474121094,36.0,59.400001525878906,92885
2024-01-30,40.599998474121094,45.599998474121094,39.79999923706055,43.20000076293945,5290
2024-01-31,38.599998474121094,39.79999923706055,37.0,39.79999923706055,1670
2024-02-01,39.400001525878906,41.79999923706055,35.599998474121094,37.20000076293945,930
2024-02-02,38.599998474121094,47.79999923706055,37.400001525878906,38.400001525878906,2940
2024-02-05,39.20000076293945,41.0,37.0,40.79999923706055,670
2024-02-06,35.20000076293945,39.0,35.20000076293945,39.0,660
2024-02-07,38.20000076293945,39.79999923706055,34.0,37.400001525878906,4070
2024-02-08,43.79999923706055,45.599998474121094,38.79999923706055,40.0,9285
2024-02-09,37.400001525878906,43.20000076293945,37.400001525878906,43.0,2370
2024-02-12,37.0,38.599998474121094,36.0,38.0,1060
2024-02-13,37.20000076293945,39.0,36.599998474121094,36.599998474121094,845
2024-02-14,41.20000076293945,49.20000076293945,39.20000076293945,40.20000076293945,11430
2024-02-15,47.20000076293945,49.400001525878906,41.0,41.0,7920
2024-02-16,45.79999923706055,49.0,43.79999923706055,47.0,3470
2024-02-20,40.400001525878906,45.20000076293945,39.0,44.0,1790
2024-02-21,38.400001525878906,43.0,37.599998474121094,41.400001525878906,710
2024-02-22,38.20000076293945,39.0,37.400001525878906,39.0,1120
2024-02-23,37.0,39.599998474121094,36.0,38.20000076293945,1230
2024-02-26,35.400001525878906,38.0,35.400001525878906,38.0,935
2024-02-27,35.400001525878906,37.599998474121094,35.0,37.599998474121094,1315
2024-02-28,37.0,38.400001525878906,35.599998474121094,36.79999923706055,1240
2024-02-29,36.0,36.79999923706055,34.20000076293945,36.599998474121094,2050
2024-03-01,36.20000076293945,37.400001525878906,36.0,36.0,620
2024-03-04,35.0,37.599998474121094,35.0,36.400001525878906,715
2024-03-05,36.20000076293945,37.400001525878906,35.20000076293945,35.20000076293945,1495
2024-03-06,35.599998474121094,37.79999923706055,35.400001525878906,36.20000076293945,1815
2024-03-07,40.0,43.20000076293945,36.20000076293945,37.0,9835
2024-03-08,36.20000076293945,41.0,35.400001525878906,40.20000076293945,2565
2024-03-11,36.400001525878906,38.599998474121094,35.79999923706055,38.20000076293945,1690
2024-03-12,36.599998474121094,37.0,35.20000076293945,36.599998474121094,455
2024-03-13,36.400001525878906,37.599998474121094,35.400001525878906,36.599998474121094,1170
2024-03-14,33.400001525878906,37.0,32.20000076293945,37.0,6010
2024-03-15,31.0,35.0,30.600000381469727,33.0,1950
2024-03-18,30.799999237060547,31.600000381469727,30.600000381469727,31.200000762939453,470
2024-03-19,30.399999618530273,30.600000381469727,28.0,30.600000381469727,1095
